title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Martabak Tofu,https://www.fatsecret.co.id/resep/47737765-martabak-tofu/Default.aspx,Martabak Tofu,Sidebar - Makanan Pembuka,"1 tsp low sodium, dry beef broth, bouillon or consomme, | 1 besar egg | 1 medium carrots | 1 tsp white pepper | 2 sejumput salt | 1/2 sdm oyster sauce | 2 siung garlic | 1 mangkok, dicincang scallions or spring onions | 3/4 block regular tofu (with calcium sulfate)","Hancurkan tahu, parut wortel dan potong daun bawang. | Campurkan semua bahan dan telur aduk rata dan tambahkan bumbu-bumbu. | Siapkan pan panas lalu kecilkan api dan panggang bertahap.","36,0 kkal","3,17 g","2,2 g","1,87 g","0,5 g","0,49 g","61,0 mg","83,0 mg","18,0 mg","0,344 g",Pancake Tofu dengan daun bawang dan wortel.,PT5M,PT15M,12 porsi
Salad Roll,https://www.fatsecret.co.id/resep/46663932-salad-roll/Default.aspx,Salad Roll,Sidebar - Makanan Ringan,1 sedang rice paper | 20 gram wortel | 20 gram mentimun (kupas) | 50 gram selada air | 20 g cheddar cheese | 50 g smoked beef,"Rendam rice paper ke dalam air hangat sebentar. | Setelah rice paper lemas & mudah dibentuk, masukkan bahan2, lalu lipat/gulung. | Makan!","183,0 kkal","15,18 g","14,96 g","7,64 g","1,2 g","3,0 g","1008,0 mg","265,0 mg","20,0 mg","3,741 g",Gulungan salad sehat yang bisa Anda makan saat bepergian.,PT5M,PT5M,1 porsi
Smoothie Coklat Pisang,https://www.fatsecret.co.id/resep/46255115-smoothie-coklat-pisang/Default.aspx,Smoothie Coklat Pisang,Sidebar - Makanan Pembuka,200 gram pisang | 5 gram chia seed | 10 g mueslix harvest fruit | 10 g coklat bubuk,Pisang bekuin. | Blender sama bubuk coklat. | Kasih taburan topping.,"280,0 kkal","5,85 g","60,42 g","3,97 g","12,3 g","27,23 g","11,0 mg","724,0 mg","0,0 mg","1,213 g",Pisang coklat bubuk dan topping.,PT5M,PT5M,1 porsi
Sawi Gulung,https://www.fatsecret.co.id/resep/46033671-sawi-gulung/Default.aspx,Sawi Gulung,Sidebar - Lainnya,2 besar telur | 5 gram kaldu jamur | 200 gram tahu | 1/2 tbsp saus tiram | 250 gram sawi hijau,"Rebus lembaran sawi sampai layu, kemudian rebus 1 buah telur, kemudian potong mnjadi 8 bagian. | Hancurkan tahu. | Masukkan telur mentah, saus tiram dan kaldu jamur. | Ambil selembar sawi, masukan adonan tahu dan telur rebus, gulung seperti menggulung risoles. | Lakukan sampai adonan tahu habis. | Kukus kurang lebih 10 menit.","44,0 kkal","4,1 g","1,62 g","2,54 g","0,4 g","0,82 g","100,0 mg","125,0 mg","53,0 mg","0,54 g",Gulungan hijau rendah kalori dengan tauhu.,PT10M,PT10M,8 porsi
Salad Ayam,https://www.fatsecret.co.id/resep/40728720-salad-ayam/Default.aspx,Salad Ayam,Sidebar - Makan Siang,"60 gram chicken breast | 50 gram boiled potato | 2 mangkok, parut atau cincang lettuce | 90 gram cooked corn | 1/2 sendok makan light mayonnaise","Bumbui ayam dengan garam merica, panggang. | Kukus jagung, kentang. | Potong n cuci lettuce. | Campur smuanya. | Pakein mayo / salad dressing.","376,0 kkal","22,51 g","41,93 g","13,98 g","4,5 g","5,11 g","594,0 mg","701,0 mg","50,0 mg","3,077 g","Salad dengan ayam, jagung dan kentang.",PT10M,PT30M,1 porsi
Sup Sosis dengan Sayuran,https://www.fatsecret.co.id/resep/64613063-sup-sosis-dengan-sayuran/Default.aspx,Sup Sosis dengan Sayuran,Sidebar - Makan Siang,1 besar telur | 100 gram buncis | 100 gram wortel | 65 g sosis sapi & ayam,Rebus air secukupnya lalu masukkan irisan sayuran. | Masukkan irisan sosis dan telur kocok. | Bumbui sesuai keinginan dan masak selama 5 menit.,"256,0 kkal","19,04 g","21,09 g","11,33 g","6,2 g","6,32 g","745,0 mg","596,0 mg","212,0 mg","3,613 g",Hidangan lezat dan rendah kalori.,PT10M,PT15M,1 porsi
Sop Tulang Iga Sapi,https://www.fatsecret.co.id/resep/64474557-sop-tulang-iga-sapi/Default.aspx,Sop Tulang Iga Sapi,Sidebar - Makan Siang,"100 gram tomat | 100 gram wortel | 100 gram iga sapi (potongan kecil, diiris hingga 0.3 cm lemak)",Rebus daging sapi dengan air secukupnya selama 30 menit. | Tambahkan irisan sayuran dan isi air sesuai kebutuhan. | Bumbui sesuai selera dan masak hingga empuk. | Sajikan dalam mangkuk dan hiasi sesuai keinginan.,"157,0 kkal","10,57 g","6,75 g","9,75 g","2,0 g","3,58 g","62,0 mg","426,0 mg","35,0 mg","3,888 g",Hidangan sederhana namun enak menggunakan 3 bahan.,PT10M,PT40M,2 porsi
Rebusan Tahu dengan Kecambah,https://www.fatsecret.co.id/resep/64166051-rebusan-tahu-dengan-kecambah/Default.aspx,Rebusan Tahu dengan Kecambah,Sidebar - Makan Siang,120 gram kecambah | 1 sdt garam | 2 siung bawang putih | 1/2 utuh sedang tomat merah | 500 ml air | 157 gram tahu | 7 ml minyak goreng | 7 g saos tiram,Potong tahu dan sayuran. | Panaskan minyak dalam wajan dan tumis bawang putih sampai keemasan. | Tambahkan air dan biarkan mendidih. | Masukkan sisa bahan dan bumbui. Masak sampai empuk.,"61,0 kkal","4,44 g","3,65 g","3,83 g","1,0 g","1,46 g","684,0 mg","124,0 mg","0,0 mg","0,936 g",Hidangan mudah dan rendah kalori.,PT10M,PT20M,4 porsi
Sup Daging Selada Air,https://www.fatsecret.co.id/resep/57640138-sup-daging-selada-air/Default.aspx,Sup Daging Selada Air,Sidebar - Hidangan Utama,200 gram daging sapi | 20 gram cabai merah atau rawit | 1 sdt garam | 15 gram bawang putih | 300 gram selada air | 150 gram jamur tiram | 2 g royco ayam | 3 g lada putih bubuk | 40 gram bawang bombay,"Rebus daging buang airnya, direbus kembali dengan bawang putih, bawang bombay dan cabe, bumbui dengan garam, merica, dan royco ayam. | Masukan jamur, tunggu beberapa saat. | Masukan selada air tunggu sampe selada air matang sebelum disajikan.","193,0 kkal","17,07 g","8,91 g","10,9 g","2,8 g","1,53 g","953,0 mg","692,0 mg","44,0 mg","4,062 g",Resep satu pot yang sederhana dan lezat.,PT10M,PT30M,4 porsi
Sup Daging Sapi dengan Kacang Panjang,https://www.fatsecret.co.id/resep/57037487-sup-daging-sapi-dengan-kacang-panjang/Default.aspx,Sup Daging Sapi dengan Kacang Panjang,Sidebar - Makan Siang,"100 gram tomat | 200 gram kacang panjang hijau (dari segar) | 3 siung bawang putih | 1 sdt jahe | 1 mangkok daun bawang | 100 gram iga sapi (potongan kecil, diiris hingga 0.3 cm lemak) | 250 gram daging sapi (95% tanpa lemak / 5% lemak) | 4 sedang bawang merah","Cuci bersih daging sapi dan iga sapi, potong kecil-kecil daging dan masak dengan cara 5-30-7 (rebus 5 menit, matikan api, diamkan di atas kompor selama 30 menit, dan lanjutkan proses memasak dengan merebusnya selama 7 menit lagi). | Haluskan bawang merah, bawang putih dan jahe. | Iris kacang panjang, tomat dan daun bawang. | Tumis bumbu halus dengan minyak hingga harum, tambahkan air lalu daging sapi dan iga. Biarkan mendidih. | Setelah mendidih, masukkan kacang panjang dan tomat, bumbui dengan garam dan kaldu jamur secukupnya. | Jika sudah matang, matikan api dan masukkan daun bawang yang sudah dipotong-potong.","247,0 kkal","20,84 g","19,89 g","9,66 g","3,8 g","7,0 g","218,0 mg","629,0 mg","56,0 mg","3,678 g",Sup yang dibumbui dengan sempurna dan memuaskan untuk makan siang atau makan malam.,PT20M,PT60M,4 porsi
Steam Tofu Udang,https://www.fatsecret.co.id/resep/56952654-steam-tofu-udang/Default.aspx,Steam Tofu Udang,Sidebar - Makan Siang,125 gram udang | 2 sedang telur | 2 gram minyak wijen | 2 siung bawang putih | 1 sdt garam laut | 140 g egg tofu | 3 g kaldu jamur | 9 ml saus rasa tiram,Tumis bawang putih cincang pakai minyak wijen. | Masukan udang hingga berubah warna. | Tambahkan air secukupnya untuk membuat sup. | Masukkan tofu hingga semua matang. | Masukan garam saus tiram kaldu jamur. | Masukan Kocokan telur aduk hingga berserabut. Tambahkan daun bawang (opsional).,"77,0 kkal","8,84 g","2,04 g","3,94 g","0,0 g","0,12 g","578,0 mg","60,0 mg","105,0 mg","0,596 g",Sup hangat cocok untuk hari hujan.,PT10M,PT20M,6 porsi
Sop,https://www.fatsecret.co.id/resep/56549927-sop/Default.aspx,Sop,Sidebar - Makan Siang,"2 1/2 ons, tanpa tulang dada ayam rebus | 1 porsi udang kukus atau rebus | 51 gram brokoli dimasak (dari segar) | 17 gram cabai merah atau rawit | 3 sdt garam | 36 gram kulit ayam | 130 gram wortel | 15 gram bawang putih | 93 gram tomat merah | 2 sdt gula pasir | 15 gram bawang merah | 22 g jamur enoki | 10 g bumbu racik sayur sop | 20 g kaldu jamur | 6 ml minyak goreng","Tumis bawang merah, bawang putih, cabai (optional kalau ingin pedas) menggunakan minyak hingga wangi. | Masukkan air kedalam tumisan tadi, biarkan sampai air mendidih. | Masukan ayam, udang, dan sayur-sayuran kedalam air. | Tambahkan garam, gula, dan kaldu, racik sayur sop sesuai selera lalu tunggu hingga matang.","353,0 kkal","28,6 g","26,47 g","14,89 g","6,0 g","11,2 g","5066,0 mg","757,0 mg","122,0 mg","4,051 g",Sup hangat diisi dengan protein dan serat.,PT10M,PT20M,2 porsi
Chicken Ramen Shirataki,https://www.fatsecret.co.id/resep/56310478-chicken-ramen-shirataki/Default.aspx,Chicken Ramen Shirataki,Sidebar - Makan Siang,100 gram dada ayam (kulit tidak dimakan) | 50 gram kecambah | 50 gram wortel | 1 siung bawang putih | 40 gram tomat merah | 1 gelas air | 1 kecil bawang merah | 50 g mie kering | 3 g royco kaldu rasa sapi | 1 ml minyak goreng,"Iris ayam hingga tipis tipis. | Potong-potong tomat dan wortel sesuai keinginan. | Cincang bawang merah dan bawang putih. | Panaskan minyak kemudian tumis bawang merah, bawang putih, dan tomat. | Masukkan air dan tunggu hingga hampir mendidih. | Masukkan ayam dan royco perlahan. | Ketika ayam sudah matang, keluarkan ayam dari rebusan. | Masukkan sayuran dan mie shirataki. Tunggu hingga matang!","426,0 kkal","34,2 g","60,77 g","4,95 g","10,1 g","15,27 g","560,0 mg","676,0 mg","84,0 mg","1,479 g",Makanan rendah kalori yang sempurna.,PT10M,PT15M,1 porsi
Sup Tahu Brokoli,https://www.fatsecret.co.id/resep/53243662-sup-tahu-brokoli/Default.aspx,Sup Tahu Brokoli,Sidebar - Lauk Pauk,1 besar telur | 130 gram brokoli | 1 siung bawang putih | 1/2 sdt gula pasir | 5 gram garam laut | 175 gram tahu | 3 g lada putih bubuk | 5 ml minyak goreng,"Cuci bersih brokoli dan pot dg tahu. | Tumis bawang putih dg minyak lalu masukkan air. | Masukkan brokoli rebus masukkan bumbu lalu masuk lg tahu. | Terakhir kocok telur dan tuang sdkit ke dlm panci rebusan. | Aduk rata, siap dimakan.","159,0 kkal","12,05 g","8,89 g","9,32 g","2,0 g","2,74 g","1034,0 mg","348,0 mg","106,0 mg","2,309 g",Kaya akan protein dan serat.,PT5M,PT15M,2 porsi
Sup Tofu Telur,https://www.fatsecret.co.id/resep/53114785-sup-tofu-telur/Default.aspx,Sup Tofu Telur,Sidebar - Lauk Pauk,1 sedang telur | 8 gram kaldu jamur | 8 gram cabai merah atau rawit | 1/4 sdt garam | 1 sdm saus tiram | 2 siung bawang putih | 3 kecil bawang merah | 2 sdm minyak goreng | 180 g egg tofu,"Potong tahu sesuai selera, lalu cincang bawang putih dan bawang merah. | Panaskan minyak goreng dengan teflon, masukan bawang putih masak hingga tercium wanginya. | Lalu masukan bawang merah sambil diaduk agar tidak gosong. | Tambahkan air gelas. | Masukan cabai, garam, kaldu jamur dan saus tiram. | Lalu masukan telur, orak arik terus. | Kemudian masukan tofu, diamkan hingga mendidih atau sudah terlihat matang.","503,0 kkal","18,12 g","31,92 g","38,59 g","5,3 g","10,26 g","1250,0 mg","558,0 mg","186,0 mg","9,693 g",Simple tapi enak.,PT10M,PT15M,1 porsi
Sup Telur,https://www.fatsecret.co.id/resep/52572016-sup-telur/Default.aspx,Sup Telur,Sidebar - Sup,"1 besar telur | 1 mangkok, segar sawi dimasak (dari segar) | 25 gram kaldu jamur | 1 sdt garam | 25 g sosis ayam | 3 g lada putih bubuk",Kocok telur dan campurkan garam. | Didihkan air dan jika air sudah mendidih masukkan telur kocok. | Kemudian masukkan sosis dan sawi bersama kaldu dan merica.,"187,0 kkal","12,24 g","10,99 g","10,95 g","3,6 g","1,01 g","3254,0 mg","223,0 mg","212,0 mg","3,082 g",Sup yang mudah dimasak yang sempurna untuk hari hujan.,PT5M,PT10M,1 porsi
Sup Tomat,https://www.fatsecret.co.id/resep/51352570-sup-tomat/Default.aspx,Sup Tomat,Sidebar - Sup,100 gram tomat | 1 besar putih telur | 1 siung bawang putih | 1 gelas air | 200 gram tahu | 115 g royco kaldu rasa sapi | 3 g lada putih bubuk,"Potong-potong tomat dan bawang putih lalu blender dengan air sampai halus. | Masak sampai mendidih lalu masukkan tahu yang sudah dipotong dadu. | Setelah kuah berkurang masukkan putih telur. | Tambahkan royco dan lada bubuk, tes rasa hingga sesuai yang diinginkan. | Setelah matang tambahkan daun bawang dam hidangkan.","206,0 kkal","20,61 g","11,35 g","10,18 g","1,9 g","3,75 g","341,0 mg","539,0 mg","0,0 mg","1,208 g",Sup tomat dengan campuran tahu dan telur.,PT10M,PT10M,1 porsi
Sup Labu Telur,https://www.fatsecret.co.id/resep/51316335-sup-labu-telur/Default.aspx,Sup Labu Telur,Sidebar - Sup,2 sedang telur | 1 sdt garam | 2 siung bawang putih | 160 gram labu | 1 gelas air | 5 ml minyak goreng | 40 gram tahu | 15 g bihun jagung | 4 g bumbu penyedap rasa sapi,"Rebus bihun hingga matang, sisihkan. | Kupas dan bersihkan labu potong dadu, sisihkan. | Tumis bawang putih, masukkan telur dan aduk hingga matang. | Tambahkan air, masukkan lahu dan tahu.","166,0 kkal","8,24 g","14,08 g","7,74 g","0,8 g","2,04 g","1292,0 mg","366,0 mg","186,0 mg","2,434 g",Sup labu dengan telur dan tahu.,PT15M,PT30M,2 porsi
Bakso dan Sup Telur,https://www.fatsecret.co.id/resep/47903138-bakso-dan-sup-telur/Default.aspx,Bakso dan Sup Telur,Sidebar - Sup,1/2 slice soft silken tofu | 45 g bakso sapi | 250 ml air mineral | 50 g fish roll | 40 g telur ayam kampung | 48 g crab stick,"Didihkan air. | Setelah didih masukan telur. | Lalu di aduk sebentar dan masukan semua bahan. | Tambahkan sedikit penyedap,gula,bawang putih bubuk,dan lada hitam.","362,0 kkal","30,02 g","27,84 g","14,38 g","0,0 g","3,55 g","1360,0 mg","76,0 mg","0,0 mg","0,15 g","Sup kaya dengan telur, tahu sutra, dan bakso.",PT2M,PT15M,1 porsi
Sop Sayur,https://www.fatsecret.co.id/resep/47721709-sop-sayur/Default.aspx,Sop Sayur,Sidebar - Sup,"5 gram kaldu jamur | 1 sejumput garam | 50 gram buncis | 100 gram brokoli | 1/2 kepala, kecil kubis | 1 kecil wortel | 1/2 untai seledri | 1/2 siung bawang putih | 1/2 daun bawang | 1 sdm minyak goreng | 1,25 g bumbu racik sayur sop | 50 gram kentang rebus","Tumis bawang putih hingga harum dan berubah warna, kemudian tambah air hingga mendidih. | Setelah mendidih, masukkan sayuran dimulai dari yg keras seperti wortel, buncis, kentanh. | Tambahkan bumbu racik, garam dan kaldu jamur. | Koreksi rasa. Siap dihidangkan.","321,0 kkal","11,34 g","52,12 g","11,17 g","15,6 g","19,96 g","598,0 mg","1740,0 mg","0,0 mg","4,16 g",Sup sederhana yang diisi dengan sayuran sehat.,PT5M,PT15M,1 porsi
Sup Telur Jagung,https://www.fatsecret.co.id/resep/47001307-sup-telur-jagung/Default.aspx,Sup Telur Jagung,Sidebar - Sup,1 irisan tipis ayam | 1 besar telur rebus | 100 gram wortel dimasak | 100 gram bawang bombay dimasak | 1 sdt garam | 1 mangkok jagung manis kuning | 1 mangkok daun bawang | 1 sdt bawang putih cincang | 600 ml air mineral,"Tumis bawang putih & bombay. | Jika sudah harum masukan kurleb air. | Masukan ayam, wortel, jagung , diamkan kurleb 20menit. | Lalu kocok telur lalu masukan, setelah itu masukan jg daun bawang. | Tambahkan garam dan merica setelah itu dicicip. | Sudah biss dihidangkan.","217,0 kkal","8,48 g","33,0 g","7,41 g","5,3 g","8,13 g","1561,0 mg","530,0 mg","108,0 mg","1,706 g","Sup yang menenangkan dengan telur, jagung, dan sayuran.",PT25M,PT30M,2 porsi
Bakso Lohoa,https://www.fatsecret.co.id/resep/46482849-bakso-lohoa/Default.aspx,Bakso Lohoa,Sidebar - Sup,1 besar telur | 100 gram bihun panjang | 100 gram wortel dimasak | 1 sdt garam | 100 gram daging dada ayam (ayam pedaging) | 2 siung bawang putih | 1 mangkok daun bawang | 100 g jamur kuping | 10 g tepung tapioka | 230 g royco kaldu rasa sapi | 3 g lada putih bubuk,"Choper/ haluskan dada ayam beserta 2 siung bawang putih,1 butir telur , 1sdm tepung maizena / tapioka ,  garam , lada ,beserta kaldu sapi bubuk . Choper hingga halus. | Pindahkan ke wadah / baskom gilingan ayam yg sudah halus. | Potong wortel, jamur kuping dan daun bawang potong kotak kecil. Lalu masukkan pada gilingan ayam tadi. | Masukan bihun jagung kedalam adonan baso, aduk rata lalu di bentuk adonan baso bulat2 bisa dengan sendok / dengan tangan. | Rebus dalam air mendidih sampai baso terapung di atas,  itu tandanya sudah matang . Bisa di sajikan dengan resep  kuah baso / kuah sop.. Selamat mencoba.","42,0 kkal","3,59 g","4,87 g","1,0 g","0,5 g","0,87 g","330,0 mg","74,0 mg","27,0 mg","0,249 g",Kaya serat tinggi protein.,PT20M,PT20M,10 porsi
Bakso di Soup,https://www.fatsecret.co.id/resep/45631599-bakso-di-soup/Default.aspx,Bakso di Soup,Sidebar - Hidangan Utama,200 gram daging sapi giling | 100 gram kecambah | 5 gram kaldu jamur | 1 sdt bawang putih bubuk | 1 sejumput lada hitam | 10 gram cabai merah atau rawit | 1 sdt garam | 2 siung bawang putih | 20 gram daun bawang | 300 gram tahu kukus | 100 gram pakcoy | 50 g tepung tapioka | 40 gram bawang bombay,"Buat adonan bakso dengan cara campurkan tapioka, daging sapi giling, bombay dan bubuk bawang putih serta lada garam. Aduk hingga rata. Dan bulatkan dengan tangan satu per satu. Masukan satu per satu ke dalam air mendidih. | Cincang bawang putih dan daun bawang. Masukan ke dalam kuah. Serta lada garam dan kaldu jamur. | Rebus sayur pokcoy dan toge dalam panci terpisah. | Tunggu hingga bakso matang dan mengapung ke atas. Masukan tahu. Tunggu sampai smua matang. Sajikan bersama toge dan pokcoy rebus sera tambahkan cabai rawit jika suka.","242,0 kkal","20,65 g","9,99 g","13,64 g","1,8 g","4,38 g","851,0 mg","399,0 mg","44,0 mg","4,18 g",Sup bakso dengan kaldu jamur dan sayuran.,PT20M,PT30M,4 porsi
Sawi Tahu,https://www.fatsecret.co.id/resep/45388262-sawi-tahu/Default.aspx,Sawi Tahu,Sidebar - Sup,1 sedang telur | 1/2 sdt garam | 1 siung bawang putih | 10 ml air | 1/2 sdt gula pasir | 112 gram tahu | 117 gram pakcoy | 58 g bakso udang,"Rebus bola udang, tahu, pakcoy. Tiriskan. | Urak arik telur dan bawang putih tanpa minyak. | Masukkan semua bahan dlm satu wadah, beri gula garam penyedap sedikit saja. | Beri air sedikit saja, tunggu sebentar. Angkat. Sajikan.","246,0 kkal","19,47 g","18,6 g","11,19 g","1,3 g","4,26 g","1525,0 mg","342,0 mg","186,0 mg","2,034 g","Hidangan dengan bakso udang, tahu dan sayuran.",PT15M,PT10M,1 porsi
Shirataki Tomato Soup,https://www.fatsecret.co.id/resep/42669988-shirataki-tomato-soup/Default.aspx,Shirataki Tomato Soup,Sidebar - Makan Siang,"2 chicken nugget | 1 sedang telur | 1 mangkok, segar sawi dimasak (dari segar) | 200 gram tomat | 1 sdt garam | 1 sdm saus teriyaki | 50 gram buncis | 50 gram wortel | 5 siung bawang putih | 5 iris daun bawang | 3 gelas air | 1/2 sdm minyak goreng | 1 sdm kecap manis | 200 g mie basah matang | 2 g royco ayam","Panaskan minyak ½ sendok masukkan nugget yg dipotong dadu. | Masukkan batang sawi, wortel dan buncis tambahkan air 250ml. | Sisihkan tumisan ke pinggir wajan lalu masukkan telur, beri garam dan orak arik  bersama sayur. | Masukkan irisan tomat, sawi, tambahkan air 500ml masukkan mie shirataki. | Tambahkan royko/kaldu ayam, garam, irisan cabe, saus teriyaki dan kecap. | Diamkan hingga mendidih. | Ready to serving.","163,0 kkal","6,29 g","21,74 g","6,37 g","6,1 g","8,68 g","1550,0 mg","395,0 mg","68,0 mg","1,777 g",Sup rendah kalori yang lezat dengan mie.,PT5M,PT15M,3 porsi
Capcay,https://www.fatsecret.co.id/resep/42604554-capcay/Default.aspx,Capcay,Sidebar - Makan Siang,"1 besar telur | 1 sdm cabai merah atau rawit | 1 mangkok, dicincang sawi | 3 siung bawang putih | 2 kecil bawang merah | 1 sdm kecap manis | 50 g sosis sapi | 9 g saus sambal","Tumis bawang putih, bawang merah, dan cabai hingga harum. | Tuang air secukupnya tunggu sampai mendidih. | Masukkan sawi, sosis, dan telur. | Tambahkan garam, lada, kecap secukupnya. | Tunggu hingga matang.","363,0 kkal","17,07 g","47,46 g","12,39 g","4,9 g","21,28 g","1144,0 mg","473,0 mg","212,0 mg","1,887 g",Hidangan cepat dan mudah dengan sosis dan sawi.,PT5M,PT10M,1 porsi
Sup Daging Tahu,https://www.fatsecret.co.id/resep/41331917-sup-daging-tahu/Default.aspx,Sup Daging Tahu,Sidebar - Sup,150 gram daging sapi | 1 sdt jinten | 1 sdt garam | 125 gram wortel | 100 gram jagung manis kuning | 3 siung bawang putih | 1 sdt jahe | 1 daun bawang | 700 ml air | 20 gram bawang merah | 2 sdm minyak goreng | 100 gram tahu | 230 g royco kaldu rasa sapi | 3 g lada putih bubuk | 150 gram kentang rebus | 60 gram bawang bombay,"Daging sapi sebelumnya sudah direbus terlebih dahulu. | Halus lada, jintan, jahe, bawang putih dan bawang merah. | Tumis bumbu halus, tambahkan bawang Bombay yang sudah di potong-potong, setelah itu tambahkan air biarkan sampai mendidih. | Tambah semua bahan, test rasa. | Masak sampai mendidih.","269,0 kkal","14,42 g","22,49 g","14,19 g","3,1 g","4,4 g","892,0 mg","546,0 mg","33,0 mg","5,136 g",Sup yang menenangkan dengan daging sapi dan tahu.,PT15M,PT20M,4 porsi
